Metin,metin_lemmatized
Çok kaliteli tavsiye edilir,"['kaliteli', 'tavsiye', 'edil']"
Oğlum için aldım gayet güzel memnun kaldı.,"['oğul', 'al', 'gayet', 'güzel', 'memnun', 'kal']"
oğluma aldik çok beğendik teşekürler,"['oğul', '', 'beğen', '']"
Güzel kaliteli çok teşekkür ederim,"['güzel', 'kaliteli', 'teşekkür', 'eder']"
çok kullanışlı küçük de değil ayrıca...,"['kullanışlı', 'küçük', 'değil', 'ayrı']"
???? Şaka gibiteslim edilmeden edildi görünüyor,"['şaka', '', 'edilmeden', 'edil', 'görün']"
Göründüğü gibi geldi paketleme çok iyi beğendim,"['göründük', 'gel', 'paketle', 'iyi', 'beğen']"
çok memnunum bu fiyata güzel kalite,"['memnun', 'fiyat', 'güzel', 'kalite']"
bu paraya bu kadar,"['para', 'kadar']"
bu fiyata normal,"['fiyat', 'normal']"
kaliteli bir ürün biraz küçük,"['kaliteli', 'bir', 'ürün', 'biraz', 'küçük']"
idare eder dayanagıın arka kısmı kırık geldi degiştirmeyle ugraşmadım oraya birşeyler düşünüyorum kamufle etmek için,"['idare', 'eder', '', 'arka', 'kısım', 'kırık', 'gel', '', '', 'oraya', '', 'düşün', 'kamufle', 'etmek']"
Kurulumunda biraz zorlandım hiç açıklayıcı kağıt yok. Ürünün arka plastik kısmında küçük bir kırık var fakat iade etmeyeceğim çünkü şuan bir sandelyeye çok ihtiyacım var ve kargo firmasına geri götürmek zor olucak. iş gören bir ürün fiyatına göre yeterli gibi. Ama gelen üründe kırıklar çatlaklar ya da deformasyonlar görebilirsiniz.,"['kurulum', 'biraz', 'zorlan', 'açıklayıcı', 'kâğıt', 'yok', 'ürün', 'arka', 'plastik', 'kısım', 'küçük', 'bir', 'kırık', 'var', 'fakat', 'iade', 'et', 'şua', 'bir', '', 'ihtiyaç', 'var', 'kargo', 'firma', 'geri', 'götürmek', 'zor', 'olucak', 'iş', 'göre', 'bir', 'ürün', 'fiyat', 'göre', 'yeterli', 'gelen', 'ürün', 'kırık', 'çatlak', 'deformasyon', 'görebil']"
cok begenmedim kurulum kolay fakat bazi yapisal problemleri var oturma yeri bir tarafı eğri ayakları iyi değil.gorunus idare eder.bu fiyata iyi diyemicem.Birde kargo firması çok pis getirdi üzerine yapışkan bisey dökmüşler fenaydı. paketleme iyi değildi .,"['', '', 'kurulu', 'kolay', 'fakat', '', '', 'problem', 'var', 'otur', 'yer', 'bir', 'taraf', 'eğri', 'ayak', 'iyi', '', 'idare', '', 'fiyat', 'iyi', '', 'kargo', 'firma', 'pis', 'getir', 'üzerine', 'yapışkan', '', 'dök', 'fena', 'paketle', 'iyi', 'değil']"
Ürün genel olarak iyi sadece alt tarafındaki pedal yerinin takma aparatı yoktu yinede iade etmedi kullanışlı,"['ürün', 'genel', 'olarak', 'iyi', 'sade', 'alt', 'taraf', 'pedal', 'yerin', 'tak', 'aparat', 'yoktu', 'yine', 'iade', 'et', 'kullanışlı']"
Kurulumu cok kolay herhangi bir alet gerekmiyor hatta. Ama biraz cocuk sandayesi gibi. Deri gorunumu ucuz bir hava katiyor. En ucuzu bu idare eder,"['kurulu', '', 'kolay', 'herhangi', 'bir', 'alet', 'gerek', 'hatta', 'biraz', '', '', 'deri', '', 'ucuz', 'bir', 'hava', '', 'ucuz', 'idare', 'eder']"
Birac kucuk. Genclere ve minyonlara gore,"['', '', '', 'minyon', '']"
kargoya verilmesi 2 hafta sürdü. koltuk küçük çocuklar için oturma kısmı biraz sert ve kol kısmının bir tane vidası düşmüş tutmuyor,"['kargo', 'verilme', 'hafta', 'sür', 'koltuk', 'küçük', 'çocuk', 'otur', 'kısım', 'biraz', 'sert', 'kol', 'kısım', 'bir', 'tane', 'vida', 'düş', 'tut']"
"oturma yerine tabandaki çiviler batıyor poponuza yani, rahatsız, gıcırdıyor kurulumu kolay ama minderle kullanılabilir","['otur', 'yerine', 'taban', 'çivi', 'bat', 'popo', 'rahatsız', 'gıcırdı', 'kurulu', 'kolay', 'minder', 'kullanılabil']"
Birinci sınıf kalite olmasa da çocuklar ve fiyat olarak uygun. Kargolama uzun sürdü aldıktan 11 gün sonra elime ulaştı.,"['birinci', 'sınıf', 'kalite', 'ol', 'çocuk', 'fiyat', 'olarak', 'uygun', 'kargola', 'uzun', 'sür', 'aldık', 'gün', 'sonra', 'elim', 'ulaş']"
Çok büyük ve rahat bir sandalye beklemeyin. Biraz küçük. Çok konforlu da sayılmaz ama idare eder bir ürün.,"['büyük', 'rahat', 'bir', 'sandalye', 'bekle', 'biraz', 'küçük', 'konforlu', 'sayıl', 'idare', 'eder', 'bir', 'ürün']"
Ürünü aldığımda indirimdeydi o fiyata göre gayet iyi ama aldıktan iki ay sonra tekerleklerinde çıkma yaşadık kendimiz değiştirmek zorunda kaldı sadece,"['ürün', 'aldık', 'indirim', 'fiyat', 'göre', 'gayet', 'iyi', 'aldık', 'iki', 'ay', 'sonra', 'tekerlek', 'çık', 'yaşa', 'kendi', 'değiştirmek', 'zorun', 'kal', 'sade']"
"Kalitesi güzel, 2 günde elime ulaştı. Boyutu küçük ama asıl sıkıntı sırt desteği sabit ve çok dik. Bu sebeplede aşırı rahatsız.","['kalite', 'güzel', 'günde', 'elim', 'ulaş', 'boyut', 'küçük', 'asıl', 'sıkıntı', 'sırt', 'destek', 'sabit', 'dik', '', 'aşırı', 'rahatsız']"
Ürünün  plastik kısımları aşırı kötü,"['ürün', 'plastik', 'kısım', 'aşırı', 'kötü']"
Kesinlikle cok kotu tavsiye etmem.,"['kesinlik', '', 'kot', 'tavsiye', 'et']"
indirimde almıştım güzel ama arkaya doğru esnese daha güzel olabilirdi,"['indirim', 'al', 'güzel', 'arka', 'doğru', 'esne', 'güzel', 'olabilir']"
ürün çok hızlı elime ulaştı ama bir yerinde hafif çökme olmuş,"['ürün', 'hızlı', 'elim', 'ulaş', 'bir', 'yerinde', 'hafif', 'çök', 'olmuş']"
gayet güzel ürün oğluma ders çalışırken rahat otursun diye aldım fiyatına göre iyi.,"['gayet', 'güzel', 'ürün', 'oğul', 'ders', 'çalış', 'rahat', 'otur', 'al', 'fiyat', 'göre', 'iyi']"
Ben yaklaşık 2 aydır kullanıyorum ve çok beğendim şu anlık gayet iyi.,"['ben', 'yaklaşık', 'ay', 'kullan', 'beğen', 'anlık', 'gayet', 'iyi']"
ürün anlatıldığı gibi fena değil orta kaliteli parasına göre,"['ürün', 'anlatıldık', 'fena', 'değil', 'orta', 'kaliteli', 'para', 'göre']"
Ürün çok geniş degil ama rahat çalışma masası için kullanıyoruz ??,"['ürün', 'geniş', '', 'rahat', 'çalış', 'masa', 'kullan']"
Biraz küçük ama zayıf bir insan olduğum için bana ideal,"['biraz', 'küçük', 'zayıf', 'bir', 'insan', 'olduk', 'bana', 'ideal']"
ürün güzel ama keşke montalamayı anlatan kağıtta olsaydı,"['ürün', 'güzel', 'keşke', '', 'anlatan', 'kâğıt', 'ol']"
kurulumu çok kolay çocukların için 2 tane aldım fiyatına göre guzel,"['kurulu', 'kolay', 'çocuk', 'tane', 'al', 'fiyat', 'göre', '']"
ürün fotoğrafta göründüğü gibi geldi kurulumu gayet basit hızlı kargo. dayanma yerini beğenmedim sadece,"['ürün', 'fotoğraf', 'göründük', 'gel', 'kurulu', 'gayet', 'basit', 'hızlı', 'kargo', 'dayan', 'yer', 'beğen', 'sade']"
Güzel ürün kullanışlı biraz sert daha yumuşak bekliyordum ben ama yinede fiyatına göre güzel ürün,"['güzel', 'ürün', 'kullanışlı', 'biraz', 'sert', 'yumuşak', 'bekli', 'ben', 'yine', 'fiyat', 'göre', 'güzel', 'ürün']"
Ürün çok kaliteli değil sırt kısmı yaslanılmıyor arkaya ama indirimde alınılır,"['ürün', 'kaliteli', 'değil', 'sırt', 'kısım', 'yaslanıl', 'arka', 'indirim', 'alınıl']"
gayet güzel fiyatına göre uygun deri kurulumuda basit orta boy bir sandelye,"['gayet', 'güzel', 'fiyat', 'göre', 'uygun', 'deri', '', 'basit', 'orta', 'boy', 'bir', '']"
gönderim hızı dışında güzel bir sandalye..Ama 3 hafta bekledik...,"['gönderim', 'hız', 'dış', 'güzel', 'bir', '', 'hafta', 'bekle']"
Ürün güzel daha çok çoçuklar için bende çocuğu ma aldığım için güzel oldu ??,"['ürün', 'güzel', '', 'bende', 'çocuk', '', 'aldık', 'güzel', 'oldu']"
Oturma yeri biraz küçük ama çocuk ve genç için fena değil. Fiyatına göre iyi.,"['otur', 'yer', 'biraz', 'küçük', 'çocuk', 'genç', 'fena', 'değil', 'fiyat', 'göre', 'iyi']"
Saglam bir ürün hızlı teslimat için teşekkürler. sadece Koltuk kısmı biraz dar ve sert,"['', 'bir', 'ürün', 'hızlı', 'teslimat', 'teşekkür', 'sade', 'koltuk', 'kısım', 'biraz', 'dar', 'sert']"
iki tane aldık ve çok memnunuz kurulumuda cok kolay ve cok uygun,"['iki', 'tane', 'al', 'memnun', '', '', 'kolay', '', 'uygun']"
maalesef arka plastik kismi kirik geldi kargonun hatasi oldugunu dusunuyorum.,"['maalesef', 'arka', 'plastik', '', '', 'gel', 'kargo', '', '', '']"
Aslında tam göründüğü gibi geldi fiytına göre gayet uygun çok kullanışlı,"['tam', 'göründük', 'gel', '', 'göre', 'gayet', 'uygun', 'kullanışlı']"
"Fiyatına göre gayet iyi, suni deri. Beklediğim gibi geldi. Montajı gayet kolay.","['fiyat', 'göre', 'gayet', 'iyi', 'suni', 'deri', 'bekledik', 'gel', 'montaj', 'gayet', 'kolay']"
Fiyat performans ürünü arkadaşlar iş görüyor ??,"['fiyat', 'performans', 'ürün', 'arkadaş', 'iş', 'gör']"
Küçük çocuklar için çokkaliteli ve büyük değil,"['küçük', 'çocuk', '', 'büyük', 'değil']"
Hızlı teslimat ve çok güzel,"['hızlı', 'teslimat', 'güzel']"
Gayet iyi memnun kaldım,"['gayet', 'iyi', 'memnun', 'kal']"
kurulumu basit sağlam sandalye,"['kurulu', 'basit', 'sağlam', 'sandalye']"
gayet iyi teşekkürler,"['gayet', 'iyi', 'teşekkür']"
Sorunsuz teslim aldım teşekkür ederim.,"['sorunsuz', 'teslim', 'al', 'teşekkür', 'eder']"
fiyatına göre iyi güzel paketleme hızlı teslimat,"['fiyat', 'göre', 'iyi', 'güzel', 'paketle', 'hızlı', 'teslimat']"
güzel bir ürün çocuklar için ideal,"['güzel', 'bir', 'ürün', 'çocuk', 'ideal']"
çok guze dükkana aldim,"['', 'dükkân', '']"
iyi yapılmış rahatlıkla kullan,"['iyi', 'yapıl', 'rahatlık', 'kullan']"
fotoğraf ta göründüğü gibi,"['fotoğraf', 'ta', 'göründük']"
"Fiyat uygun, işe yarıyor","['fiyat', 'uygun', 'işe', 'yara']"
Zamanında geldi teşekkürler,"['zamanında', 'gel', 'teşekkür']"
Urun kurulu gelmiyor fakat kurmasi kolay.,"['ur', 'kurulu', 'gel', 'fakat', '', 'kolay']"
Ürün güzel gayet ve deri haberiniz olsun,"['ürün', 'güzel', 'gayet', 'deri', 'haber', 'ol']"
Çok beyendik teşekkürler,"['', 'teşekkür']"
Kullanışlı ve güzel bi ürün,"['kullanışlı', 'güzel', '', 'ürün']"
Güzel hızlı kuruluyor,"['güzel', 'hızlı', 'kurulu']"
Ürün tam istediğim gibi,"['ürün', 'tam', 'istedik']"
Çok rahat ve kullanışlı,"['rahat', 'kullanışlı']"
Göründüğü gibi güzel bir ürün tavsiye ediyorum,"['göründük', 'güzel', 'bir', 'ürün', 'tavsiye', 'et']"
Sorunsuz teslim aldım teşekkür ederim.,"['sorunsuz', 'teslim', 'al', 'teşekkür', 'eder']"
Hızlı teslimat ve çok güzel,"['hızlı', 'teslimat', 'güzel']"
Kurulumu kolay rahat kullanışlı,"['kurulu', 'kolay', 'rahat', 'kullanışlı']"
güzel bir ürün çocuklar için ideal,"['güzel', 'bir', 'ürün', 'çocuk', 'ideal']"
gayet kullanışlı bi ürün ..rahat ve sağlam,"['gayet', 'kullanışlı', '', 'ürün', 'rahat', 'sağlam']"
Gayet iyi memnun kaldım,"['gayet', 'iyi', 'memnun', 'kal']"
kurulumu basit sağlam sandalye,"['kurulu', 'basit', 'sağlam', 'sandalye']"
gayet iyi teşekkürler,"['gayet', 'iyi', 'teşekkür']"
ürün güzel dar alanlarda kullanışlı,"['ürün', 'güzel', 'dar', 'alan', 'kullanışlı']"
çok guze dükkana aldim,"['', 'dükkân', '']"
Çok iyi bir ürün kusursuz,"['iyi', 'bir', 'ürün', 'kusursuz']"
Kullanışlı ve güzel. Teslimatıda çok hızlı oldu,"['kullanışlı', 'güzel', '', 'hızlı', 'oldu']"
fiyatına göre iyi güzel paketleme hızlı teslimat,"['fiyat', 'göre', 'iyi', 'güzel', 'paketle', 'hızlı', 'teslimat']"
Hem uygun fiyat hem kalite teşekkürler,"['uygun', 'fiyat', 'kalite', 'teşekkür']"
cok guzel gayet memnun kaldim,"['', '', 'gayet', 'memnun', '']"
küçük ofis sandalyesi isteyenler için ideal..,"['küçük', 'ofis', 'sandalye', 'isteyen', 'ideal']"
Kesinlikle ihtiyacı olanlar alsın cok iyi,"['kesinlik', 'ihtiyaç', 'olan', 'al', '', 'iyi']"
Ürün aynı göründüğü gibi geldi teşekkürler,"['ürün', 'aynı', 'göründük', 'gel', 'teşekkür']"
çocuk için gayet güzel.,"['çocuk', 'gayet', 'güzel']"
Süper tam göründüğü gibi,"['süper', 'tam', 'göründük']"
Ürün güzel teşekkürler,"['ürün', 'güzel', 'teşekkür']"
Kolay kurulum rahat bir koltuk iş görür,"['kolay', 'kurulu', 'rahat', 'bir', 'koltuk', 'iş', 'gör']"
fotoğraf ta göründüğü gibi,"['fotoğraf', 'ta', 'göründük']"
bayıldım çocuklar için aldım,"['bayıl', 'çocuk', 'al']"
kızıma aldik çok beğendik herkese tavsiye ederim,"['kızım', '', 'beğen', 'herkes', 'tavsiye', 'eder']"
urun guzel aynı bekledigim gibi biraz ağır sanki,"['ur', '', 'aynı', '', 'biraz', 'ağır']"
Urun kurulu gelmiyor fakat kurmasi kolay.,"['ur', 'kurulu', 'gel', 'fakat', '', 'kolay']"
çok güzel ürün kurulumuda kolay oldu,"['güzel', 'ürün', '', 'kolay', 'oldu']"
Gayet güzel beğendim rahat,"['gayet', 'güzel', 'beğen', 'rahat']"
Fiyatına göre gayet güzel bir ürün,"['fiyat', 'göre', 'gayet', 'güzel', 'bir', 'ürün']"
gayet kolay kurduk çokta güzel,"['gayet', 'kolay', 'kur', 'çok', 'güzel']"
Kurumunu oğlum yaptı güzel kullanışlı,"['kurum', 'oğul', 'yap', 'güzel', 'kullanışlı']"
fiyatına göre güzel beğendim,"['fiyat', 'göre', 'güzel', 'beğen']"
Kaliteli ve uygun bi fiyatı var,"['kaliteli', 'uygun', '', 'fiyat', 'var']"
fiyatına göre güzel ürün,"['fiyat', 'göre', 'güzel', 'ürün']"
Ürünün hem fiyatı uygun hemde kaliteli ??,"['ürün', 'fiyat', 'uygun', 'he', 'kaliteli']"
çocuk için gayet güzel.,"['çocuk', 'gayet', 'güzel']"
Süper tam göründüğü gibi,"['süper', 'tam', 'göründük']"
Kolay kurulum rahat bir koltuk iş görür,"['kolay', 'kurulu', 'rahat', 'bir', 'koltuk', 'iş', 'gör']"
urun sıkıntısız ve iyi,"['ur', 'sıkıntısız', 'iyi']"
Gayet güzel beğendim rahat,"['gayet', 'güzel', 'beğen', 'rahat']"
çok güzel ürün kurulumuda kolay oldu,"['güzel', 'ürün', '', 'kolay', 'oldu']"
Hem fiyatı uygun hemde çok güzel,"['fiyat', 'uygun', 'he', 'güzel']"
Fiyatına göre gayet güzel bir ürün,"['fiyat', 'göre', 'gayet', 'güzel', 'bir', 'ürün']"
Ürün güzel teşekkürler,"['ürün', 'güzel', 'teşekkür']"
Ürün aynı göründüğü gibi geldi teşekkürler,"['ürün', 'aynı', 'göründük', 'gel', 'teşekkür']"
küçük ofis sandalyesi isteyenler için ideal..,"['küçük', 'ofis', 'sandalye', 'isteyen', 'ideal']"
cok guzel gayet memnun kaldim,"['', '', 'gayet', 'memnun', '']"
Kesinlikle ihtiyacı olanlar alsın cok iyi,"['kesinlik', 'ihtiyaç', 'olan', 'al', '', 'iyi']"
Hem uygun fiyat hem kalite teşekkürler,"['uygun', 'fiyat', 'kalite', 'teşekkür']"
kızıma aldik çok beğendik herkese tavsiye ederim,"['kızım', '', 'beğen', 'herkes', 'tavsiye', 'eder']"
urun guzel aynı bekledigim gibi ,"['ur', '', 'aynı', '']"
Zamanla arkası geriye düşmeye başladı yaslanmaktan. Sol taraftaki kol desteği de kırıldı. Fiyatına göre berbat.,"['zaman', 'arka', 'geri', 'düş', 'başla', 'yaslanmak', 'sol', 'taraf', 'kol', 'destek', 'kırıl', 'fiyat', 'göre', 'berbat']"
Gayet güzel kullanışlı,"['gayet', 'güzel', 'kullanışlı']"
Ürün gayet kullanışlı güzel kurulumuda rahat,"['ürün', 'gayet', 'kullanışlı', 'güzel', '', 'rahat']"
"kullnışlı , işlevsel","['', 'işlevsel']"
İdare edecek Bi ürün,"['idare', 'edecek', '', 'ürün']"
Kurumu kolay güzel,"['kurum', 'kolay', 'güzel']"
"çocuklar için çok rahat, tavsiye ederim.","['çocuk', 'rahat', 'tavsiye', 'eder']"
Çok teşekkür ederim,"['teşekkür', 'eder']"
Deri kumaş istemediğim halde deri geldi. Tekerlekleri monte etmek de çok zor oldu. Ama onun dışında bir sorunu yok. Şimdilik kullanıyoruz bakalım,"['deri', 'kumaş', 'istemedik', 'hal', 'deri', 'gel', 'tekerlek', 'monte', 'etmek', 'zor', 'oldu', 'on', 'dış', 'bir', 'sorun', 'yok', 'şimdilik', 'kullan', 'bak']"
"Daha kurarken bir ayağı kırıldı çok kalitesiz bir ürün. Hiç de rahat değil, oğlum İçin almıştım boyutu güzel ama sırtını ağrıtıyor rahat değil.","['kur', 'bir', 'ayak', 'kırıl', 'kalitesiz', 'bir', 'ürün', 'rahat', 'değil', 'oğul', 'al', 'boyut', 'güzel', 'sırt', 'ağrıt', 'rahat', 'değil']"
ürün ayakları ne yapsak tam anlamıyla oturmadı emanet duruyor yaşlanma yeri açılmış olarak geldi maalesef kaliteli değil ama idarelik alinabilir,"['ürün', 'ayak', 'yap', 'tam', 'anlam', 'otur', 'emanet', 'dur', 'yaşlan', 'yer', 'açıl', 'olarak', 'gel', 'maalesef', 'kaliteli', 'değil', 'idarelik', '']"
Ürün Sağlam Ancak Resimde Gösterildiğinden Farklı gelen koltuk Suni Deri resimdeki ise Kumaş havasında ve sadece çocuk ve zayıf insanlar için üretilmiştir. Ürün bilgileri Eksik üzgünüm,"['ürün', 'sağlam', 'ancak', 'resim', 'gösterildiğinde', 'farklı', 'gelen', 'koltuk', 'suni', 'deri', 'resim', 'kumaş', 'hava', 'sade', 'çocuk', 'zayıf', 'insan', 'üretil', 'ürün', 'bilgi', 'eksik', 'üzgün']"
Biz bir süre önce aldık sandalyeyi. Gayet rahat ama kumaşı deri olduğu için yazın rahatsız ediyor. Onun dışında kollarından biri sürekli düşüyor. Montajı çok zor değildi. Kollarından birinin düşmesine rağmen güzel,"['bir', 'süre', 'ön', 'al', 'sandalye', 'gayet', 'rahat', 'kumaş', 'deri', 'olduk', 'yazın', 'rahatsız', 'et', 'on', 'dış', 'kol', 'sürekli', 'düş', 'montaj', 'zor', 'değil', 'kol', 'biri', 'düşme', 'rağmen', 'güzel']"
Urun guzek fakat bekledigimden hafif kucuk çok kucuk degil ama ne kadar para o kadar kalite mantigi iş gorur ama çokta iyi birsey beklemeyin,"['ur', '', 'fakat', '', 'hafif', '', '', '', 'kadar', 'para', 'kadar', 'kalite', '', 'iş', '', 'çok', 'iyi', '', 'bekle']"
vala en sevdiğim tarafı hızlı gelmesi fiyatı ile kalitesi eş değerde pahalı almıyorsunuz ama ucuzda değil..,"['Vâlâ', 'sevdik', 'taraf', 'hızlı', 'gelme', 'fiyat', 'kalite', 'eş', 'değer', 'pahalı', 'al', 'ucuz', 'değil']"
Kalitesi idare eder sert gibi ama çok sert sayılmaz ama kargo R E Z A L E T lütfen aras kargoyla çalışmayın trendyol express çok çok daha iyi,"['kalite', 'idare', 'eder', 'sert', 'sert', 'sayıl', 'kargo', '', 'e', '', 'a', '', 'e', '', 'lütfen', 'Aras', 'kargo', 'çalış', '', '', 'iyi']"
Ürün bu fiyata bence pahalı çok basit duruyor ilkokul a giden öğrenciye göre uygun ama küçük,"['ürün', 'fiyat', 'ben', 'pahalı', 'basit', 'dur', 'ilkokul', 'a', 'giden', 'öğrenci', 'göre', 'uygun', 'küçük']"
Beklediğim kalitede değil özellikle sırt bölümünün sabit oluşu hiç kullanışlı değil idare eder,"['bekledik', 'kalite', 'değil', 'özellik', 'sırt', 'bölüm', 'sabit', 'oluş', 'kullanışlı', 'değil', 'idare', 'eder']"
Asla kaliteli birşey beklemeyin ve kesinlikle çok küçük. Küçük çocuklar İçin kullanılabilir,"['asla', 'kaliteli', 'bekle', 'kesinlik', 'küçük', 'küçük', 'çocuk', 'kullanılabil']"
Korgo esnasında sandalyenin kolu kırılmıştı korgo dikkati yok,"['', 'esnasında', 'sandalye', 'kol', 'kırıl', '', 'dikkat', 'yok']"
Urun deriymis resimlerde deri oldugu belli olmuyordu keske deri olmasaydi,"['ur', '', 'resim', 'deri', '', 'belli', 'ol', '', 'deri', '']"
ürün hiç kaliteli değil daha sağlam bir şey bekliyordum geçici olarak iş görür,"['ürün', 'kaliteli', 'değil', 'sağlam', 'bir', 'bekli', 'geçici', 'olarak', 'iş', 'gör']"
bir sene oldu alalı yan tutacakları sallanıyor ve sandalye gıcırdıyor,"['bir', 'sene', 'oldu', 'alalı', 'yan', 'tutacak', 'sallan', 'sandalye', 'gıcırdı']"
Kurulumu zor ve normal sandalyelere göre hafif küçük,"['kurulu', 'zor', 'normal', 'sandalye', 'göre', 'hafif', 'küçük']"
Oldukça kaliteli ancak arkadı kırık geldi ne yazıkki,"['oldukça', 'kaliteli', 'ancak', '', 'kırık', 'gel', 'yazık']"
fiyatına göre iş görür küçük çocuk için ideal kilolu ve yapıli kişiler tercih etmesin,"['fiyat', 'göre', 'iş', 'gör', 'küçük', 'çocuk', 'ideal', 'kilolu', '', 'kişi', 'tercih', 'et']"
ürün güzel beklediğim gibi geldi çocuklarım severek kullanıyor teşekkür ederiz,"['ürün', 'güzel', 'bekledik', 'gel', 'çocuk', 'severek', 'kullan', 'teşekkür', 'eder']"
fiyatina gore gayet iyi. urun anlatildigi gibi geldi,"['', '', 'gayet', 'iyi', 'ur', '', 'gel']"
Öğrenci için ideal bir ürün... Ofis için düşünmeyin ürünü... Çok kaliteli değil ama idare eder...,"['öğrenci', 'ideal', 'bir', 'ürün', 'ofis', 'düşün', 'ürün', 'kaliteli', 'değil', 'idare', 'eder']"
Üçrete göre ürün güzel. Yapılışıda kolaydı ama çok geç geldi,"['', 'göre', 'ürün', 'güzel', '', 'kolay', 'geç', 'gel']"
yedi yasinda oglum icin aldim tam ona goreymis tesekkurler trendyol,"['yedi', '', '', '', '', 'tam', 'ona', '', '', '']"
fiyatina gore nornal çok lüx birşey beklemeyin. rahat sikinti yok. goruntu siradan.,"['', '', '', '', 'bekle', 'rahat', 'sikinti', 'yok', '', '']"
"Ürün güzel fakat yapım asamasinda tekerlekleri takamadık, zor...","['ürün', 'güzel', 'fakat', 'yapım', '', 'tekerlek', 'tak', 'zor']"
Hızlı teslimat. Güzel paketleme. Göründüğü gibi öneririm.,"['hızlı', 'teslimat', 'güzel', 'paketle', 'göründük', 'öner']"
Kaliteli ürün yumuşak derisi var masaya uygun boyu var ayalalanabilir ömürlük kullanın,"['kaliteli', 'ürün', 'yumuşak', 'deri', 'var', 'masa', 'uygun', 'boy', 'var', 'ayalalanabil', 'ömürlük', 'kullan']"
idare eder fiyatına gore,"['idare', 'eder', 'fiyat', '']"
"Kurulumu kolay,kullanışlı","['kurulu', '']"
Rahatsız olduğu için çok iyi ders çalışıyorum,"['rahatsız', 'olduk', 'iyi', 'ders', 'çalış']"
Ürün göründüğşnden daha küçük. Kalite iyi,"['ürün', '', 'küçük', 'kalite', 'iyi']"
göründüğü gibi hızlı kargo için teşekkürler,"['göründük', 'hızlı', 'kargo', 'teşekkür']"
Biraz geç geldi onun dışında resimdeki gibi,"['biraz', 'geç', 'gel', 'on', 'dış', 'resim']"
Çok beğendim. Tavsiye ediyorum,"['beğen', 'tavsiye', 'et']"
Şimdilik iyi duruyor. Görüntü tamam.,"['şimdilik', 'iyi', 'dur', 'görüntü', 'tamam']"
sıkıntısız ulaştı oğlumun odasında yerini aldı,"['sıkıntısız', 'ulaş', 'oğul', 'oda', 'yer', 'al']"
"F/p ürünü, güzel görünüyor ama biraz sert","['', 'ürün', 'güzel', 'görün', 'biraz', 'sert']"
Oturacak yeri biraz küçük ona göre alın derim,"['oturacak', 'yer', 'biraz', 'küçük', 'ona', 'göre', 'al', 'deri']"
Ürünü beğendik kurulumuda kolaydı teşekkürler,"['ürün', 'beğen', '', 'kolay', 'teşekkür']"
urun cok gec gelmesi dışında göründüğü gibi,"['ur', '', '', 'gelme', 'dış', 'göründük']"
Fevkaladenin fevkinde??,"['fevkalade', 'fevk']"
"Kurulumu kolay, memnun kaldım.","['kurulu', 'kolay', 'memnun', 'kal']"
Ürün çok kaliteli kurulumu kolay,"['ürün', 'kaliteli', 'kurulu', 'kolay']"
mükemmel beklediğimden cok çok iyi,"['mükemmel', 'bekledik', '', 'iyi']"
beklediğimden daha iyi geldi,"['bekledik', 'iyi', 'gel']"
"ürünü beğendim , herkese tercih ederim","['ürün', 'beğen', 'herkes', 'tercih', 'eder']"
çok güzel ama tekerlekleri biraz zor takılıyor,"['güzel', 'tekerlek', 'biraz', 'zor', 'takılı']"
Ürün kaliteli beklediğimiz gibi geldi,"['ürün', 'kaliteli', 'bekledik', 'gel']"
"Hızlı teslimat, memnun kaldım","['hızlı', 'teslimat', 'memnun', 'kal']"
çok iyi bir sandalye beğendim,"['iyi', 'bir', 'sandalye', 'beğen']"
Fiyat performans ürünü.,"['fiyat', 'performans', 'ürün']"
teşekkürler düzgün ürün hızlı kargo,"['teşekkür', 'düzgün', 'ürün', 'hızlı', 'kargo']"
Ürün güzel tşk ederim,"['ürün', 'güzel', '', 'eder']"
montajdan 2 hafta sonra kırıldı kimseye tavsiye etmem,"['montaj', 'hafta', 'sonra', 'kırıl', 'kimse', 'tavsiye', 'et']"
Ürün kaliteli beklediğimiz gibi geldi,"['ürün', 'kaliteli', 'bekledik', 'gel']"
Çok güzel beğendim paketleme sistemi harika,"['güzel', 'beğen', 'paketle', 'sistem', 'harika']"
mükemmel beklediğimden cok çok iyi,"['mükemmel', 'bekledik', '', 'iyi']"
Gayet güzel kaliteli alın,"['gayet', 'güzel', 'kaliteli', 'al']"
7 yaş kızım için aldım bu yaş grubana ideal,"['yaş', 'kızım', 'al', 'yaş', '', 'ideal']"
iademi yaptığınız için teşekkürler,"['iade', 'yaptık', 'teşekkür']"
Çok kullanışlı ve rahat,"['kullanışlı', 'rahat']"
Zamaninda geldi ve gayet de gözel tavsiye ederim.,"['', 'gel', 'gayet', 'gözel', 'tavsiye', 'eder']"
fiyatina gore iyi bir urun sahlam geldi,"['', '', 'iyi', 'bir', 'ur', 'sahla', 'gel']"
beğendim tam istediğim gibi,"['beğen', 'tam', 'istedik']"
kucuk ama idare eder,"['', 'idare', 'eder']"
çok hoş ve güzel.,"['hoş', 'güzel']"
Beğendik ideal,"['beğen', 'ideal']"
Çok iyi ????,['iyi']
İş görüyor,"['iş', 'gör']"
Harika bir ürün ??,"['harika', 'bir', 'ürün']"
Güzel kullanışlı,"['güzel', 'kullanışlı']"
Güzel geldi,"['güzel', 'gel']"
çok kullanışlı,['kullanışlı']
